ENCSENTS	DECSENTS
the man played judge , jury , and executioner with eight people's lives . he lost control and is capable of doing it again .	I understand the risks involved here . but there is nobody better qualified to go after Sid 6.7 than Barnes . and , there is nobody who knows him better than you . if a situation becomes volatile , you will find a way to quell it . I have complete confidence in you .
... illegal search of Lindenmeyer' s duplex . eleven civilian vehicles damaged or destroyed . twenty — four citizen complaints . and the calls are just starting to come in ... I forgot what it's like to have you on the streets .	any sign of Lindenmeyer ?
none . he could be hiding , he could be helping Sid , or could be in little pieces on Santa Monica beach . any idea what Sid's going to do next ?	until we know what new influences are affecting him , we can't be sure .
I should have told him .	don't blame yourself . in your shoes , I don't think I would have told Parker , either . so do you think Grimes has become the dominant personality ?
I'm not sure . my guess is that's what Sid wants us to think .	you think he's smart ?
I think we both know who did . what's so urgent ?	I need your help--
why didn't anybody tell me ? !	I don't set policy . you have the key ?
give me 30 seconds , then flip every switch you can reach .	got it .
you all right ?	why'd .. .you pull me out ?
you were supposed to act as if everything was real .	real , my ass . it's an overblown game . anybody ever catch that fucking psycho ?
before you , nobody else had gotten close enough to Sid 6.7 to take a shot at him . hell , nobody else had even been able to start tracking him before he got to them first . new scar — — you making it okay in there ?	I'm getting by .
but with the six months off I get for being your guinea pig , I've only got to survive another 17 years , 5 months , and 23 days .	don't give up , Parker . not ever .
you know those cheesy Christmas cards of your family under that tree in your back yard you keep sending me every year ?	what about them ?
Parker Barnes , I'd like you to meet Crime Czar Elizabeth Deane .	it's too early in the morning for me to be cordial . you got any coffee ?
these were taken inside LETAC an hour ago . pretty pictures , aren't they ?	I've seen worse .
Jesus Christ . can you kill it ?	if you can catch him .
she's going to help you understand what makes Sid 6.7 tick .	what she's going to do is get in my way .
she wasn't part of the deal , Cox .	fine — — you want to stay here ?
officers in Toluca Lake just found an affluent couple ... completely gutted . so were the first two cops to arrive on scene .	their weapons missing ?
Sid 6.7 is now armed .	where's my gun ?
don't worry , they have no idea where you are .	you son — of — a — bitch . how could you let them put the implant in my head ? how ?
she saved your life , Parker . she didn't have to , but she did .	then I guess we're even .
on my life , I promise you I will .	if you're lying , I'll hunt you down and kill you myself .
my first two pairs of convicts suffered the same fate .	why wasn't I told ?
you mean a nano — tech synthetic organism .	whatever .
recognize this ? how would you like your old job back ?	catch him and your record's clean .
this is the newest technology approved for general implementation . it's called a locater implant . every parolee gets one . we're going to know where you are every second for the rest of your life .	if you try to run , I'll hunt you down and kill you myself .
yes or no , Mr. Barnes ?	there's already a task force out looking for Lindenmeyer . every other officer in the city will be hunting Sid right along with you .
Madison lives two blocks from their present location .	why would they be going there ?
I wish we could hear them .	Barnes wouldn't kill two innocent guards .
he would slaughter eight people sitting in a room , but not two prison guards ?	do I need to remind you what happened to his wife ? to his daughter ? I will stake my reputation that Barnes didn't kill those guards .
can you tell us what's on the disc ?	) There is one program with approximately 1.3 million lines of programming . it is thoroughly secured , which is not surprising considering Lindenmeyer created it .
it's not your fault . we appreciate you trying .	look , I feel bad about this , so I'm going to try to look into the programming of his Maestro teaching tool for you . ) I've had one sitting around for years . maybe I can learn something that you'll find useful .
you son-of — a — bitch , I'm going to kill you .	me ? what did I do ?
I'm sorry , I thought you were somebody else .	I've discovered something about Lindenmeyer' 5 Maestro teaching tool I thought you should know ... The harm done to the music students who used the device — — it was not by accident . the machine was designed explicitly for that purpose . Lindenmeyer intended to hurt the kids using it .
hello .	hello .
good morning , Rita . how are we today ?	today , a good girl .
how did you see me ?	from the terrace .
I'm going to the hen house . are you coming with me ?	no , I don't want to .
how do you feel ?	I have a headache .
that will soon pass . it's nothing .	what happened to me ?
you fainted last night after supper . the master and I carried you here .	have I slept long ?
she has the face of an angel . what a pity you can't see her .	right , let's go . and keep the compliments to yourself . I don't like them .
what about you , Manuel ?	I'm only good at making people laugh .
that's all right ; we all laugh here , but not at you ; I'll see to that .	she looks like a sick marrow !
give the little girl to me . come here , sweetheart . are you ready ?	when you are , miss .
don't talk like that !	I'll talk the way I want to . I've had enough of this .
would you mind telling me what I did wrong to you to deserve your insults ?	I've had a gutful of this .
mother ?	I've just had a letter from your uncle . he won't be able to come when you take your vows .
I hardly know him . I saw him only once , some years ago . I can't even remember him .	in any case he's asking you to come and stay with him .
I don't want to leave the convent , Mother .	I'm afraid that his health is not good . he's your only relative and you ought to say farewell to him before taking your vows . you will certainly never see him again .
he has paid for your studies and your maintenance , and he has just sent your dowry . does that mean so little to you , Viridiana ?	I have no desire to see the world again , but if you order me to ...
good morning . you weren't expecting me , were you ?	mother .
ever since yesterday , when we heard by chance about the tragedy , we have been very anxious for you . why didn't you write ? I would have come immediately .	I had so many things to think about !
is there some grave impediment which prevents you from taking your vows ? there must be something .	I have nothing to reproach myself for . all I know is that I've changed . with all my strength , which is not much , I will follow the road that the Lord has shown me . one can also serve outside a convent .
forgive me if I have offended you .	you are forgiven . goodbye .
have you repaired the windows of the dormitories ?	they shut all right now . and the blankets are ready .
what's going on , Moncho ?	this louse is looking for trouble .
yes !	I can't do anything to make you stay ? these people annoy you , isn't that it ?
why are you crying ?	I'm afraid .
don't invent stories ; go to bed .	a black bull came .
a black bull !	it's a very big one .
yes -- very , very big !	he couldn't get through the door , then ?
he came in through the cupboard .	you little liar ! get out of here !
I'll box your ears if you don't show some respect for the dead ! you mustn't play under this tree .	don Jaime loved to watch me skip .
how do you do , Miss Viridiana !	is anything the matter , Mr. Mayor ?
why not ?	there's been an accident .
where ?	come with me .
are you sure it isn't contagious ?	they told me it isn't at the hospital .
they're varicose veins . it isn't leprosy .	I'll take him to the doctor tomorrow . come on now , sit down and go on eating . and you , look after him as if he were a sick brother . be understanding . now finish eating and then go to bed . everyone in bed by eight o'clock !
how are you today ?	things seem to be getting better .
are your parents alive ?	parents ? nobody cares a damn , what's the use of them !
don't say that .	right , I won't say that , but I still think they're no use .
you'll soon find out , you liar !	stop this !
it's for people !	then let him go and he'll follow you .
he's good at rabbiting and he knows it . when we're in the country , if he doesn't hunt he doesn't get fed .	how much do you want for him ?
what's he called ?	Canelo !
Miss Viridiana ...	are you Jorge ?
Jorge , Don Jaime's son , at your service .	I've been expecting you ; I got a letter from the lawyer .
it's about time we spoke to each other , isn't it ?	well ... is it so urgent ?
I don't know anything about these things , Jorge ...	but you have a right to let us know what you think .
I know that you used to work with an architect .	and do you know that my mother and I had to suffer ? if my father had bothered himself a little more about us , I'd be an architect now .
I don't understand how you can like being alone so much .	I'm not like you , you have your wife .
